FarmerID,Gender,Age,HaveHandPhone,isTrained,FarmSize (Hectare),FarmProduction (Kg),SalesQuota (Kg),Sales Last Year (Kg),Number of Farm,Number Of Trees,FarmerStatus
720405103101,Male,49,Yes,1,2,1032,1365,,1,2000,Good
720405106101,Male,65,No,1,"2,5",714,936,,2,2500,Bad
720405108101,Male,52,No,1,2,598,715,,2,2000,Bad
720405109101,Male,29,No,1,2,960,1300,,2,2000,Good
720405116101,Male,40,No,1,"1,5",472,650,,1,1500,Bad
720405122101,Male,55,Yes,1,2,860,1235,,1,2000,Good
720405123101,Male,47,No,1,2,640,910,,1,2000,Bad
720405124101,Male,45,No,1,3,900,1300,,1,3000,Good
720405126101,Male,33,No,1,2,880,1235,,2,2000,Good
720405128101,Male,53,Yes,1,2,1360,1950,,2,2000,Good
720405130101,Male,41,No,1,3,1320,1820,,2,3000,Good
720405133101,Male,45,No,1,2,1120,1430,,2,2150,Good
720405134101,Male,32,No,1,2,540,780,,1,2000,Bad
720405135101,Male,37,No,1,3,920,1300,,1,2500,Good
720405138101,Male,62,Yes,1,3,520,780,,1,3000,Bad
720405139101,Male,47,Yes,1,2,376,585,,2,2000,Bad
720405141101,Male,41,Yes,1,"1,5",474,715,,2,1500,Bad
720405142101,Male,42,Yes,1,2,1216,1885,,2,2200,Good
720405149101,Male,49,Yes,1,2,1440,1950,,2,2000,Good
720405155101,Male,51,Yes,1,2,672,1040,,1,2300,Good
720405159101,Male,59,No,1,3,1200,1690,,1,3700,Good
720405165101,Male,57,No,1,2,260,390,,1,500,Bad
720405180101,Male,39,Yes,1,2,558,650,,1,2000,Bad
720405181101,Male,46,Yes,1,2,700,1040,,1,2000,Good
720405182101,Male,39,Yes,1,2,512,780,,1,2000,Bad
720405183101,Male,51,No,1,2,680,975,,1,2000,Bad
720405184101,Male,56,Yes,1,"3,5",880,1300,,1,3500,Good
720405186101,Male,46,No,1,2,580,650,,2,2000,Bad
720405187101,Male,49,No,1,2,860,1235,,1,2000,Good
720405188101,Male,49,No,1,3,840,1300,,1,3000,Good
720405189101,Male,53,No,1,2,1020,1430,,2,2000,Good
